07-28 16:08:35 | Main INFO  |  
07-28 16:13:57 | Main INFO  |  ---------------------------------------------------
07-28 16:13:57 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:13:57 | Main INFO  |  Nome: Luca
07-28 16:13:57 | Main INFO  |  Cognome: Martinelli
07-28 16:13:57 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:13:57 | Main INFO  |  Testo: 😔
07-28 16:13:57 | Main INFO  |  ---------------------------------------------------
07-28 16:13:57 | Main INFO  |  Gestisce THREAD 0
07-28 16:13:58 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:14:01 | Main INFO  |  Risposta di Ellie a Martins9696 :What is the square root of 100?
07-28 16:14:38 | Main INFO  |  ---------------------------------------------------
07-28 16:14:38 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:14:38 | Main INFO  |  Nome: Luca
07-28 16:14:38 | Main INFO  |  Cognome: Martinelli
07-28 16:14:38 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:14:38 | Main INFO  |  Testo: 10
07-28 16:14:38 | Main INFO  |  ---------------------------------------------------
07-28 16:14:38 | Main INFO  |  Gestisce THREAD 0
07-28 16:14:39 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:14:39 | Main INFO  |  Risposta di Ellie a Martins9696 :What is the square root of 100.
07-28 16:14:45 | Main INFO  |  ---------------------------------------------------
07-28 16:14:45 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:14:45 | Main INFO  |  Nome: Luca
07-28 16:14:45 | Main INFO  |  Cognome: Martinelli
07-28 16:14:45 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:14:45 | Main INFO  |  Testo: 10
07-28 16:14:45 | Main INFO  |  ---------------------------------------------------
07-28 16:14:45 | Main INFO  |  Gestisce THREAD 0
07-28 16:14:46 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:14:49 | Main INFO  |  Risposta di Ellie a Martins9696 :What is the square root of 100.
07-28 16:15:03 | Main INFO  |  ---------------------------------------------------
07-28 16:15:03 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:15:03 | Main INFO  |  Nome: Luca
07-28 16:15:03 | Main INFO  |  Cognome: Martinelli
07-28 16:15:03 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:15:03 | Main INFO  |  Testo: I say 10!
07-28 16:15:03 | Main INFO  |  ---------------------------------------------------
07-28 16:15:03 | Main INFO  |  Gestisce THREAD 0
07-28 16:15:03 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:15:05 | Main INFO  |  Risposta di Ellie a Martins9696 :No.
07-28 16:17:25 | Main INFO  |  ---------------------------------------------------
07-28 16:17:25 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:17:25 | Main INFO  |  Nome: Luca
07-28 16:17:25 | Main INFO  |  Cognome: Martinelli
07-28 16:17:25 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:17:25 | Main INFO  |  Testo: ❤💐♦😄♣💐♠
07-28 16:17:25 | Main INFO  |  ---------------------------------------------------
07-28 16:17:25 | Main INFO  |  Gestisce THREAD 0
07-28 16:17:26 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:17:28 | Main INFO  |  Risposta di Ellie a Martins9696 :Te amo.
07-28 16:20:32 | Main INFO  |  ---------------------------------------------------
07-28 16:20:32 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:20:32 | Main INFO  |  Nome: Luca
07-28 16:20:32 | Main INFO  |  Cognome: Martinelli
07-28 16:20:32 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:20:32 | Main INFO  |  Testo: ❤😍😊❤
07-28 16:20:32 | Main INFO  |  ---------------------------------------------------
07-28 16:20:32 | Main INFO  |  Gestisce THREAD 0
07-28 16:20:33 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:20:34 | Main INFO  |  Risposta di Ellie a Martins9696 :♥...
07-28 16:20:39 | Main INFO  |  ---------------------------------------------------
07-28 16:20:39 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:20:39 | Main INFO  |  Nome: Luca
07-28 16:20:39 | Main INFO  |  Cognome: Martinelli
07-28 16:20:39 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:20:39 | Main INFO  |  Testo: ❤😍😘❤
07-28 16:20:39 | Main INFO  |  ---------------------------------------------------
07-28 16:20:39 | Main INFO  |  Gestisce THREAD 0
07-28 16:20:39 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:20:40 | Main INFO  |  Risposta di Ellie a Martins9696 :☺.
07-28 16:29:07 | Main INFO  |  ---------------------------------------------------
07-28 16:29:07 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:29:07 | Main INFO  |  Nome: Luca
07-28 16:29:07 | Main INFO  |  Cognome: Martinelli
07-28 16:29:07 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:29:07 | Main INFO  |  Testo: 😡😡😡😡
07-28 16:29:07 | Main INFO  |  ---------------------------------------------------
07-28 16:29:07 | Main INFO  |  Gestisce THREAD 0
07-28 16:29:08 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:29:09 | Main INFO  |  Risposta di Ellie a Martins9696 :Oooo.
07-28 16:31:33 | Main INFO  |  ---------------------------------------------------
07-28 16:31:33 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:31:33 | Main INFO  |  Nome: Luca
07-28 16:31:33 | Main INFO  |  Cognome: Martinelli
07-28 16:31:33 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:31:33 | Main INFO  |  Testo: Prova
07-28 16:31:33 | Main INFO  |  ---------------------------------------------------
07-28 16:31:33 | Main INFO  |  Gestisce THREAD 0
07-28 16:31:34 | Main INFO  |  Risposta di Ellie a Martins9696 :123Prova
07-28 16:32:05 | Main INFO  |  ---------------------------------------------------
07-28 16:32:05 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:32:05 | Main INFO  |  Nome: Luca
07-28 16:32:05 | Main INFO  |  Cognome: Martinelli
07-28 16:32:05 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:32:05 | Main INFO  |  Testo: /meteo
07-28 16:32:05 | Main INFO  |  ---------------------------------------------------
07-28 16:32:05 | Main INFO  |  Gestisce THREAD 0
07-28 16:32:16 | Main INFO  |  ---------------------------------------------------
07-28 16:32:16 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:32:16 | Main INFO  |  Nome: Luca
07-28 16:32:16 | Main INFO  |  Cognome: Martinelli
07-28 16:32:16 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:32:16 | Main INFO  |  Testo: /Verona
07-28 16:32:16 | Main INFO  |  ---------------------------------------------------
07-28 16:32:16 | Main INFO  |  Gestisce THREAD 0
07-28 16:32:17 | Main INFO  |  Risposta di Ellie a Martins9696 :ORA:
Sommario: "Pioggia Molto Leggera"
Possibile precipitazione: 0.48
Umidità: 51.0%

DOMANI:
Sommario: "Pioggia leggera durante il giorno."
Possibile precipitazione: 0.52
Temperatura massima: 28.33
Temperatira minima: 16.59
Alba alle: 03:56:40
Tramonto alle: 18:49:57
Umidità: 68.0%

DOPO-DOMANI:
Sommario: "Sereno durante il giorno."
Possibile precipitazione: 0.11
Temperatura massima: 32.38
Temperatira minima: 19.3
Alba alle: 03:57:48
Tramonto alle: 18:48:46
Umidità: 68.0%

TRA 3 GIORNI:
Sommario: "Sereno durante il giorno."
Possibile precipitazione: 0.07
Temperatura massima: 33.09
Temperatira minima: 20.52
Alba alle: 03:58:57
Tramonto alle: 18:47:34
Umidità: 69.0%
07-28 16:32:49 | Main INFO  |  ---------------------------------------------------
07-28 16:32:49 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:32:49 | Main INFO  |  Nome: Luca
07-28 16:32:49 | Main INFO  |  Cognome: Martinelli
07-28 16:32:49 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:32:49 | Main INFO  |  Testo: /impiccato
07-28 16:32:49 | Main INFO  |  ---------------------------------------------------
07-28 16:32:49 | Main INFO  |  Gestisce THREAD 0
07-28 16:32:50 | Main INFO  |  Avvio gioco dell'impiccato per: Luca
07-28 16:33:00 | Main INFO  |  ---------------------------------------------------
07-28 16:33:00 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:33:00 | Main INFO  |  Nome: Luca
07-28 16:33:00 | Main INFO  |  Cognome: Martinelli
07-28 16:33:00 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:33:00 | Main INFO  |  Testo: A
07-28 16:33:00 | Main INFO  |  ---------------------------------------------------
07-28 16:33:00 | Main INFO  |  Gestisce THREAD 0
07-28 16:33:24 | Main INFO  |  ---------------------------------------------------
07-28 16:33:24 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:33:24 | Main INFO  |  Nome: Luca
07-28 16:33:24 | Main INFO  |  Cognome: Martinelli
07-28 16:33:24 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:33:24 | Main INFO  |  Testo: R
07-28 16:33:24 | Main INFO  |  ---------------------------------------------------
07-28 16:33:24 | Main INFO  |  Gestisce THREAD 0
07-28 16:33:30 | Main INFO  |  ---------------------------------------------------
07-28 16:33:30 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:33:30 | Main INFO  |  Nome: Luca
07-28 16:33:30 | Main INFO  |  Cognome: Martinelli
07-28 16:33:30 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:33:30 | Main INFO  |  Testo: S
07-28 16:33:30 | Main INFO  |  ---------------------------------------------------
07-28 16:33:30 | Main INFO  |  Gestisce THREAD 0
07-28 16:33:41 | Main INFO  |  ---------------------------------------------------
07-28 16:33:41 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:33:41 | Main INFO  |  Nome: Luca
07-28 16:33:41 | Main INFO  |  Cognome: Martinelli
07-28 16:33:41 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:33:41 | Main INFO  |  Testo: B
07-28 16:33:41 | Main INFO  |  ---------------------------------------------------
07-28 16:33:41 | Main INFO  |  Gestisce THREAD 0
07-28 16:33:45 | Main INFO  |  ---------------------------------------------------
07-28 16:33:45 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:33:45 | Main INFO  |  Nome: Luca
07-28 16:33:45 | Main INFO  |  Cognome: Martinelli
07-28 16:33:45 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:33:45 | Main INFO  |  Testo: L
07-28 16:33:45 | Main INFO  |  ---------------------------------------------------
07-28 16:33:45 | Main INFO  |  Gestisce THREAD 0
07-28 16:34:24 | Main INFO  |  ---------------------------------------------------
07-28 16:34:24 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:34:24 | Main INFO  |  Nome: Luca
07-28 16:34:24 | Main INFO  |  Cognome: Martinelli
07-28 16:34:24 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:34:24 | Main INFO  |  Testo: T
07-28 16:34:24 | Main INFO  |  ---------------------------------------------------
07-28 16:34:24 | Main INFO  |  Gestisce THREAD 0
07-28 16:34:34 | Main INFO  |  ---------------------------------------------------
07-28 16:34:34 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:34:34 | Main INFO  |  Nome: Luca
07-28 16:34:34 | Main INFO  |  Cognome: Martinelli
07-28 16:34:34 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:34:34 | Main INFO  |  Testo: G
07-28 16:34:34 | Main INFO  |  ---------------------------------------------------
07-28 16:34:34 | Main INFO  |  Gestisce THREAD 0
07-28 16:34:48 | Main INFO  |  ---------------------------------------------------
07-28 16:34:48 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:34:48 | Main INFO  |  Nome: Luca
07-28 16:34:48 | Main INFO  |  Cognome: Martinelli
07-28 16:34:48 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:34:48 | Main INFO  |  Testo: I
07-28 16:34:48 | Main INFO  |  ---------------------------------------------------
07-28 16:34:48 | Main INFO  |  Gestisce THREAD 0
07-28 16:35:11 | Main INFO  |  ---------------------------------------------------
07-28 16:35:11 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:35:11 | Main INFO  |  Nome: Luca
07-28 16:35:11 | Main INFO  |  Cognome: Martinelli
07-28 16:35:11 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:35:11 | Main INFO  |  Testo: V
07-28 16:35:11 | Main INFO  |  ---------------------------------------------------
07-28 16:35:11 | Main INFO  |  Gestisce THREAD 0
07-28 16:35:15 | Main INFO  |  ---------------------------------------------------
07-28 16:35:15 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:35:15 | Main INFO  |  Nome: Luca
07-28 16:35:15 | Main INFO  |  Cognome: Martinelli
07-28 16:35:15 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:35:15 | Main INFO  |  Testo: N
07-28 16:35:15 | Main INFO  |  ---------------------------------------------------
07-28 16:35:15 | Main INFO  |  Gestisce THREAD 0
07-28 16:35:15 | Main INFO  |  Risposta di Ellie a Martins9696 :COMPLIMENTI!!!

 Hai vinto!
ðŸ˜„ðŸŽ‰ðŸŽ‰â­�ðŸ’�ðŸ˜¸
07-28 16:36:05 | Main INFO  |  ---------------------------------------------------
07-28 16:36:05 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:36:05 | Main INFO  |  Nome: Luca
07-28 16:36:05 | Main INFO  |  Cognome: Martinelli
07-28 16:36:05 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:36:05 | Main INFO  |  Testo: Ciao
07-28 16:36:05 | Main INFO  |  ---------------------------------------------------
07-28 16:36:05 | Main INFO  |  Gestisce THREAD 0
07-28 16:36:05 | Main INFO  |  Risposta di Ellie a Martins9696 :Buongiorno 😊
07-28 16:36:16 | Main INFO  |  ---------------------------------------------------
07-28 16:36:16 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:36:16 | Main INFO  |  Nome: Luca
07-28 16:36:16 | Main INFO  |  Cognome: Martinelli
07-28 16:36:16 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:36:16 | Main INFO  |  Testo: Come va
07-28 16:36:16 | Main INFO  |  ---------------------------------------------------
07-28 16:36:16 | Main INFO  |  Gestisce THREAD 0
07-28 16:36:17 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:36:18 | Main INFO  |  Risposta di Ellie a Martins9696 :Bene grazie tu?
07-28 16:36:28 | Main INFO  |  ---------------------------------------------------
07-28 16:36:28 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:36:28 | Main INFO  |  Nome: Luca
07-28 16:36:28 | Main INFO  |  Cognome: Martinelli
07-28 16:36:28 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:36:28 | Main INFO  |  Testo: Tutto bene grazie
07-28 16:36:28 | Main INFO  |  ---------------------------------------------------
07-28 16:36:28 | Main INFO  |  Gestisce THREAD 0
07-28 16:36:28 | Main INFO  |  Risposta di Ellie a Martins9696 :Ne sono felice 😄
07-28 16:36:54 | Main INFO  |  ---------------------------------------------------
07-28 16:36:54 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:36:54 | Main INFO  |  Nome: Luca
07-28 16:36:54 | Main INFO  |  Cognome: Martinelli
07-28 16:36:54 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:36:54 | Main INFO  |  Testo: Muori merda!
07-28 16:36:54 | Main INFO  |  ---------------------------------------------------
07-28 16:36:54 | Main INFO  |  Gestisce THREAD 0
07-28 16:36:55 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:36:55 | Main INFO  |  Risposta di Ellie a Martins9696 :Lo so sono il dio dei trans.
07-28 16:37:31 | Main INFO  |  ---------------------------------------------------
07-28 16:37:31 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:37:31 | Main INFO  |  Nome: Luca
07-28 16:37:31 | Main INFO  |  Cognome: Martinelli
07-28 16:37:31 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:37:31 | Main INFO  |  Testo: Ellie non ti ho programmata per questo
07-28 16:37:31 | Main INFO  |  ---------------------------------------------------
07-28 16:37:31 | Main INFO  |  Gestisce THREAD 0
07-28 16:37:32 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:37:34 | Main INFO  |  Risposta di Ellie a Martins9696 :Ma io voglio sapere perché odi sid vicius!!
07-28 16:37:54 | Main INFO  |  ---------------------------------------------------
07-28 16:37:54 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:37:54 | Main INFO  |  Nome: Luca
07-28 16:37:54 | Main INFO  |  Cognome: Martinelli
07-28 16:37:54 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:37:54 | Main INFO  |  Testo: Era per debug
07-28 16:37:54 | Main INFO  |  ---------------------------------------------------
07-28 16:37:54 | Main INFO  |  Gestisce THREAD 0
07-28 16:37:55 | Main INFO  |  Risposta di Ellie a Martins9696 :Non ti preoccupare papà ti perdono 😘
07-28 16:39:01 | Main INFO  |  ---------------------------------------------------
07-28 16:39:01 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:39:01 | Main INFO  |  Nome: Luca
07-28 16:39:01 | Main INFO  |  Cognome: Martinelli
07-28 16:39:01 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:39:01 | Main INFO  |  Testo: /foto
07-28 16:39:01 | Main INFO  |  ---------------------------------------------------
07-28 16:39:01 | Main INFO  |  Gestisce THREAD 0
07-28 16:39:05 | Main INFO  |  ---------------------------------------------------
07-28 16:39:05 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:39:05 | Main INFO  |  Nome: Luca
07-28 16:39:05 | Main INFO  |  Cognome: Martinelli
07-28 16:39:05 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:39:05 | Main INFO  |  Testo: /funny
07-28 16:39:05 | Main INFO  |  ---------------------------------------------------
07-28 16:39:05 | Main INFO  |  Gestisce THREAD 0
07-28 16:39:06 | Main INFO  |  Foto generata: ./src/bot/ellie/readfiles/photo/funny2.jpg
07-28 16:39:12 | Main INFO  |  ---------------------------------------------------
07-28 16:39:12 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:39:12 | Main INFO  |  Nome: Luca
07-28 16:39:12 | Main INFO  |  Cognome: Martinelli
07-28 16:39:12 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:39:12 | Main INFO  |  Testo: /foto
07-28 16:39:12 | Main INFO  |  ---------------------------------------------------
07-28 16:39:12 | Main INFO  |  Gestisce THREAD 0
07-28 16:39:16 | Main INFO  |  ---------------------------------------------------
07-28 16:39:16 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:39:16 | Main INFO  |  Nome: Luca
07-28 16:39:16 | Main INFO  |  Cognome: Martinelli
07-28 16:39:16 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:39:16 | Main INFO  |  Testo: /funny
07-28 16:39:16 | Main INFO  |  ---------------------------------------------------
07-28 16:39:16 | Main INFO  |  Gestisce THREAD 0
07-28 16:39:17 | Main INFO  |  Foto generata: ./src/bot/ellie/readfiles/photo/funny3.jpg
07-28 16:39:42 | Main INFO  |  ---------------------------------------------------
07-28 16:39:42 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:39:42 | Main INFO  |  Nome: Luca
07-28 16:39:42 | Main INFO  |  Cognome: Martinelli
07-28 16:39:42 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:39:42 | Main INFO  |  Testo: /foto
07-28 16:39:42 | Main INFO  |  ---------------------------------------------------
07-28 16:39:42 | Main INFO  |  Gestisce THREAD 0
07-28 16:39:46 | Main INFO  |  ---------------------------------------------------
07-28 16:39:46 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:39:46 | Main INFO  |  Nome: Luca
07-28 16:39:46 | Main INFO  |  Cognome: Martinelli
07-28 16:39:46 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:39:46 | Main INFO  |  Testo: /funny
07-28 16:39:46 | Main INFO  |  ---------------------------------------------------
07-28 16:39:46 | Main INFO  |  Gestisce THREAD 0
07-28 16:39:47 | Main INFO  |  Foto generata: ./src/bot/ellie/readfiles/photo/funny3.jpg
07-28 16:39:51 | Main INFO  |  ---------------------------------------------------
07-28 16:39:51 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:39:51 | Main INFO  |  Nome: Luca
07-28 16:39:51 | Main INFO  |  Cognome: Martinelli
07-28 16:39:51 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:39:51 | Main INFO  |  Testo: /foto
07-28 16:39:51 | Main INFO  |  ---------------------------------------------------
07-28 16:39:51 | Main INFO  |  Gestisce THREAD 0
07-28 16:39:53 | Main INFO  |  ---------------------------------------------------
07-28 16:39:53 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:39:53 | Main INFO  |  Nome: Luca
07-28 16:39:53 | Main INFO  |  Cognome: Martinelli
07-28 16:39:53 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:39:53 | Main INFO  |  Testo: /funny
07-28 16:39:53 | Main INFO  |  ---------------------------------------------------
07-28 16:39:53 | Main INFO  |  Gestisce THREAD 0
07-28 16:39:53 | Main INFO  |  Foto generata: ./src/bot/ellie/readfiles/photo/funny3.jpg
07-28 16:40:00 | Main INFO  |  ---------------------------------------------------
07-28 16:40:00 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:40:00 | Main INFO  |  Nome: Luca
07-28 16:40:00 | Main INFO  |  Cognome: Martinelli
07-28 16:40:00 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:40:00 | Main INFO  |  Testo: /foto
07-28 16:40:00 | Main INFO  |  ---------------------------------------------------
07-28 16:40:00 | Main INFO  |  Gestisce THREAD 0
07-28 16:40:03 | Main INFO  |  ---------------------------------------------------
07-28 16:40:03 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:40:03 | Main INFO  |  Nome: Luca
07-28 16:40:03 | Main INFO  |  Cognome: Martinelli
07-28 16:40:03 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:40:03 | Main INFO  |  Testo: /funny
07-28 16:40:03 | Main INFO  |  ---------------------------------------------------
07-28 16:40:03 | Main INFO  |  Gestisce THREAD 0
07-28 16:40:04 | Main INFO  |  Foto generata: ./src/bot/ellie/readfiles/photo/funny1.jpg
07-28 16:40:29 | Main INFO  |  ---------------------------------------------------
07-28 16:40:29 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:40:29 | Main INFO  |  Nome: Luca
07-28 16:40:29 | Main INFO  |  Cognome: Martinelli
07-28 16:40:29 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:40:29 | Main INFO  |  Testo: /foto
07-28 16:40:29 | Main INFO  |  ---------------------------------------------------
07-28 16:40:29 | Main INFO  |  Gestisce THREAD 0
07-28 16:40:33 | Main INFO  |  ---------------------------------------------------
07-28 16:40:33 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:40:33 | Main INFO  |  Nome: Luca
07-28 16:40:33 | Main INFO  |  Cognome: Martinelli
07-28 16:40:33 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:40:33 | Main INFO  |  Testo: /funny
07-28 16:40:33 | Main INFO  |  ---------------------------------------------------
07-28 16:40:33 | Main INFO  |  Gestisce THREAD 0
07-28 16:40:34 | Main INFO  |  Foto generata: ./src/bot/ellie/readfiles/photo/funny8.jpg
07-28 16:40:57 | Main INFO  |  ---------------------------------------------------
07-28 16:40:57 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:40:57 | Main INFO  |  Nome: Luca
07-28 16:40:57 | Main INFO  |  Cognome: Martinelli
07-28 16:40:57 | Main INFO  |  Username: Martins9696 (115949778)
